FL_DATE,UNIQUE_CARRIER,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,CRS_DEP_TIME,DEP_TIME,DISTANCE,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,DIVERTED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,AIR_TIME,DEP_HOUR,DEP_DATE
2020-01-18,DL,DL,3241,13463,ORD,48494,BOS,1609,0038,643,10.0,10.0,0,9.0,9.0,0,0,0,,0,0,0,0,0,80.0,16,2020-01-18
2020-01-05,NK,G4,9435,83754,SEA,82184,SEA,1031,1602,1733,20.0,20.0,1,30.0,30.0,1,0,0,,1,6,0,1,22,209.0,10,2020-01-05
2020-01-14,DL,G4,7703,37911,SFO,73472,DFW,1155,0655,2380,7.0,7.0,0,-7.0,0.0,0,0,0,,0,0,0,0,0,304.0,11,2020-01-14
2020-01-23,UA,HA,4787,13700,JFK,74893,SEA,0158,2310,525,27.0,27.0,1,35.0,35.0,1,0,0,,8,1,5,1,20,57.0,1,2020-01-23
2020-01-31,AS,WN,2742,77176,MCO,62257,SEA,2028,0303,1632,9.0,9.0,0,12.0,12.0,0,0,0,,0,0,0,0,0,203.0,20,2020-01-31
2020-01-09,HA,G4,7911,79484,SEA,26002,DFW,0724,1845,2594,1.0,1.0,0,5.0,5.0,0,0,0,,0,0,0,0,0,313.0,7,2020-01-09
2020-01-09,HA,AA,4066,54811,MCO,25164,JFK,2058,2024,2985,6.0,6.0,0,17.0,17.0,1,0,0,,2,2,0,0,13,371.0,20,2020-01-09
2020-01-31,WN,AS,6590,63644,ORD,39897,BOS,0824,1755,1245,18.0,18.0,1,24.0,24.0,1,0,0,,1,3,5,1,15,145.0,8,2020-01-31
2020-01-06,DL,AS,8278,29002,SFO,13008,DFW,0532,1851,2947,0.0,0.0,0,-4.0,0.0,0,0,0,,0,0,0,0,0,384.0,5,2020-01-06
2020-01-14,DL,NK,8667,12645,ATL,40568,BOS,1613,0153,2495,13.0,13.0,0,4.0,4.0,0,0,0,,0,0,0,0,0,307.0,16,2020-01-14
2020-01-07,F9,B6,9577,74252,SEA,73239,LAX,1340,0733,214,8.0,8.0,0,6.0,6.0,0,0,0,,0,0,0,0,0,17.0,13,2020-01-07
2020-01-04,AA,B6,7125,71811,LAX,53634,ORD,2243,2229,129,6.0,6.0,0,12.0,12.0,0,0,0,,0,0,0,0,0,8.0,22,2020-01-04
2020-01-06,G4,G4,3705,24835,DFW,88483,LAX,0942,0758,1405,3.0,3.0,0,10.0,10.0,0,0,0,,0,0,0,0,0,180.0,9,2020-01-06
2020-01-29,UA,WN,9512,69197,DEN,20173,ORD,0353,1212,2354,27.0,27.0,1,17.0,17.0,1,0,0,,3,2,4,0,8,290.0,3,2020-01-29
2020-01-12,F9,NK,3126,93232,MCO,56342,SEA,0325,1217,1984,5.0,5.0,0,9.0,9.0,0,0,0,,0,0,0,0,0,255.0,3,2020-01-12
2020-01-25,G4,F9,8939,62113,LAS,33026,MCO,1327,2357,841,,,0,,,0,1,0,A,0,0,0,0,0,,13,2020-01-25
2020-01-23,B6,AS,3953,56761,JFK,39191,ATL,2026,2257,1382,6.0,6.0,0,-8.0,0.0,0,0,0,,0,0,0,0,0,157.0,20,2020-01-23
2020-01-03,G4,AA,920,11697,ATL,19117,BOS,1209,0350,2738,7.0,7.0,0,4.0,4.0,0,0,0,,0,0,0,0,0,334.0,12,2020-01-03
2020-01-04,NK,G4,9313,85818,ATL,10735,JFK,0213,0128,1462,33.0,33.0,1,17.0,17.0,1,0,0,,5,4,5,1,3,177.0,2,2020-01-04
2020-01-06,AS,HA,7440,67355,MCO,45725,DFW,0855,2339,1224,17.0,17.0,1,20.0,20.0,1,0,0,,8,5,2,1,5,150.0,8,2020-01-06
2020-01-03,G4,F9,3826,34523,DFW,79843,SEA,1618,1442,1316,3.0,3.0,0,-6.0,0.0,0,0,0,,0,0,0,0,0,171.0,16,2020-01-03
2020-01-16,WN,AS,9550,55752,SEA,42300,ORD,2224,0150,971,0.0,0.0,0,-16.0,0.0,0,0,0,,0,0,0,0,0,108.0,22,2020-01-16
2020-01-11,WN,F9,5950,69214,SFO,10955,JFK,1700,2118,1578,13.0,13.0,0,-0.0,0.0,0,0,0,,0,0,0,0,0,194.0,17,2020-01-11
2020-01-09,AA,UA,8831,51454,SEA,98905,DFW,0401,1121,2345,7.0,7.0,0,11.0,11.0,0,0,0,,0,0,0,0,0,275.0,4,2020-01-09
2020-01-05,UA,WN,6795,56387,LAX,96064,MCO,2338,1155,1131,7.0,7.0,0,-9.0,0.0,0,0,0,,0,0,0,0,0,143.0,23,2020-01-05
2020-01-19,UA,AA,5102,20070,SFO,65469,DFW,1620,0608,366,35.0,35.0,1,39.0,39.0,1,0,0,,11,7,9,1,11,58.0,16,2020-01-19
2020-01-16,F9,NK,5775,67273,MCO,37563,ORD,0700,0023,930,14.0,14.0,0,21.0,21.0,1,0,0,,4,4,3,1,10,113.0,7,2020-01-16
2020-01-24,UA,G4,5677,21321,LAX,63635,DEN,0520,1512,2752,16.0,16.0,1,27.0,27.0,1,0,0,,1,6,4,1,14,341.0,5,2020-01-24
2020-01-28,AS,AA,2135,89892,LAX,98728,MCO,2129,0223,1445,18.0,18.0,1,-4.0,0.0,0,0,0,,0,0,0,0,0,182.0,21,2020-01-28
2020-01-28,AS,HA,3284,70137,LAX,28073,ORD,2351,1358,2415,2.0,2.0,0,17.0,17.0,1,0,0,,4,2,3,0,8,307.0,23,2020-01-28
2020-01-22,B6,AS,8123,52976,SFO,42598,ATL,1729,0647,391,13.0,13.0,0,23.0,23.0,1,0,0,,4,4,6,1,8,53.0,17,2020-01-22
2020-01-01,UA,G4,994,71164,JFK,54081,LAS,0233,0323,2998,42.0,42.0,1,19.0,19.0,1,0,0,,1,3,3,0,12,367.0,2,2020-01-01
2020-01-02,UA,G4,7672,18813,SEA,94223,LAS,1842,2212,1188,13.0,13.0,0,23.0,23.0,1,0,0,,3,2,6,0,12,162.0,18,2020-01-02
2020-01-02,G4,G4,6842,46261,ATL,50932,LAX,1022,0352,488,3.0,3.0,0,7.0,7.0,0,0,0,,0,0,0,0,0,49.0,10,2020-01-02
2020-01-03,F9,DL,2542,42628,SFO,66536,JFK,0920,1221,2300,1.0,1.0,0,6.0,6.0,0,0,0,,0,0,0,0,0,297.0,9,2020-01-03
2020-01-30,HA,WN,4317,14238,SFO,29046,ORD,1024,0512,1224,56.0,56.0,1,65.0,65.0,1,0,0,,17,12,5,2,28,163.0,10,2020-01-30
2020-01-27,WN,AS,6385,76126,LAX,84077,LAS,0024,1942,2892,13.0,13.0,0,15.0,15.0,1,0,0,,6,3,4,1,2,371.0,0,2020-01-27
2020-01-21,DL,WN,4051,88062,ORD,65107,LAX,1210,1906,1613,33.0,33.0,1,23.0,23.0,1,0,0,,4,2,7,0,9,204.0,12,2020-01-21
2020-01-08,G4,F9,8893,92780,LAX,59414,JFK,0103,0731,2741,35.0,35.0,1,62.0,62.0,1,0,0,,19,6,17,1,18,335.0,1,2020-01-08
2020-01-04,G4,WN,8761,93609,LAX,77798,LAS,1957,1453,195,17.0,17.0,1,15.0,15.0,1,0,0,,5,4,4,0,1,21.0,19,2020-01-04
2020-01-26,WN,G4,9831,25870,SEA,98806,DEN,2110,0908,2149,4.0,4.0,0,-3.0,0.0,0,0,0,,0,0,0,0,0,276.0,21,2020-01-26
2020-01-23,NK,B6,5698,49505,DEN,18129,ORD,2043,2000,2296,1.0,1.0,0,14.0,14.0,0,0,0,,0,0,0,0,0,289.0,20,2020-01-23
2020-01-22,NK,NK,5206,62435,LAS,53133,ORD,0354,0646,2973,8.0,8.0,0,1.0,1.0,0,0,0,,0,0,0,0,0,365.0,3,2020-01-22
2020-01-08,AS,DL,3576,48915,SFO,64596,ORD,0222,2218,1187,16.0,16.0,1,20.0,20.0,1,0,0,,2,0,5,1,12,143.0,2,2020-01-08
2020-01-11,HA,B6,2231,28956,SFO,52193,SFO,0338,0008,2298,14.0,14.0,0,12.0,12.0,0,0,0,,0,0,0,0,0,285.0,3,2020-01-11
2020-01-17,AS,NK,3063,13871,SFO,49379,SFO,1044,1835,2022,13.0,13.0,0,22.0,22.0,1,0,0,,3,3,4,0,12,251.0,10,2020-01-17
2020-01-25,AA,UA,7235,64659,DEN,90016,SEA,2225,0927,2087,6.0,6.0,0,6.0,6.0,0,0,0,,0,0,0,0,0,225.0,22,2020-01-25
2020-01-26,AA,HA,8163,16127,MCO,80151,JFK,0915,1548,2547,33.0,33.0,1,33.0,33.0,1,0,0,,6,8,8,1,10,308.0,9,2020-01-26
2020-01-06,UA,NK,2931,66847,JFK,88700,BOS,0351,0125,828,61.0,61.0,1,57.0,57.0,1,0,0,,21,10,15,2,10,95.0,3,2020-01-06
2020-01-06,B6,UA,4011,37313,JFK,29788,SEA,0056,1848,1718,7.0,7.0,0,31.0,31.0,1,0,0,,3,2,2,1,22,222.0,0,2020-01-06
2020-01-10,G4,AA,4447,79337,SFO,23754,MCO,0216,0450,2053,12.0,12.0,0,6.0,6.0,0,0,0,,0,0,0,0,0,272.0,2,2020-01-10
2020-01-25,HA,NK,435,96293,DFW,56349,ORD,2335,2340,519,10.0,10.0,0,9.0,9.0,0,0,0,,0,0,0,0,0,61.0,23,2020-01-25
2020-01-13,G4,G4,3078,95714,DEN,22634,LAX,1453,2216,1490,14.0,14.0,0,23.0,23.0,1,0,0,,2,2,3,1,14,181.0,14,2020-01-13
2020-01-04,UA,WN,6841,90227,LAS,14283,MCO,1255,1905,265,17.0,17.0,1,21.0,21.0,1,0,0,,6,4,4,0,7,35.0,12,2020-01-04
2020-01-30,B6,G4,936,39915,LAX,95785,SEA,1833,1401,685,18.0,18.0,1,33.0,33.0,1,0,0,,12,4,6,0,11,86.0,18,2020-01-30
2020-01-18,WN,HA,9792,68411,SFO,14496,ATL,0804,1731,2515,51.0,51.0,1,43.0,43.0,1,0,0,,0,11,7,1,24,317.0,8,2020-01-18
2020-01-29,WN,AS,6604,91997,SEA,21591,MCO,0849,0528,1457,32.0,32.0,1,43.0,43.0,1,0,0,,5,1,0,1,37,174.0,8,2020-01-29
2020-01-21,UA,NK,3504,95308,SFO,58064,MIA,0312,0151,131,6.0,6.0,0,2.0,2.0,0,0,0,,0,0,0,0,0,21.0,3,2020-01-21
2020-01-15,DL,UA,895,45384,SFO,54271,DFW,0137,1634,2225,55.0,55.0,1,43.0,43.0,1,0,0,,17,11,4,0,11,275.0,1,2020-01-15
2020-01-04,UA,WN,9881,94781,SEA,28012,MCO,2022,1130,758,12.0,12.0,0,3.0,3.0,0,0,0,,0,0,0,0,0,92.0,20,2020-01-04
2020-01-03,F9,F9,5366,31167,LAS,57023,ATL,0652,0020,558,7.0,7.0,0,8.0,8.0,0,0,0,,0,0,0,0,0,64.0,6,2020-01-03
2020-01-21,UA,HA,6150,14001,JFK,52920,SFO,0257,2157,1613,2.0,2.0,0,11.0,11.0,0,0,0,,0,0,0,0,0,212.0,2,2020-01-21
2020-01-29,DL,G4,4437,40574,LAX,96136,ATL,1819,0918,2235,4.0,4.0,0,-4.0,0.0,0,0,0,,0,0,0,0,0,277.0,18,2020-01-29
2020-01-02,G4,HA,5408,35007,DEN,53292,SFO,1055,0321,1360,8.0,8.0,0,-2.0,0.0,0,0,0,,0,0,0,0,0,179.0,10,2020-01-02
2020-01-13,AS,DL,4686,68592,MCO,99152,SEA,0656,1342,2899,16.0,16.0,1,8.0,8.0,0,0,0,,0,0,0,0,0,360.0,6,2020-01-13
2020-01-29,AS,AS,9793,93765,LAX,66619,JFK,1938,2228,852,13.0,13.0,0,19.0,19.0,1,0,0,,2,3,3,1,11,94.0,19,2020-01-29
2020-01-18,HA,AA,7977,60839,LAS,79334,LAX,1646,1805,1265,15.0,15.0,1,17.0,17.0,1,0,0,,4,4,1,0,8,156.0,16,2020-01-18
2020-01-18,F9,F9,2353,10404,LAS,34618,BOS,0032,0950,1107,46.0,46.0,1,64.0,64.0,1,0,0,,19,18,3,3,21,140.0,0,2020-01-18
