FL_DATE,UNIQUE_CARRIER,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,CRS_DEP_TIME,DEP_TIME,DISTANCE,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,DIVERTED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,AIR_TIME,DEP_HOUR,DEP_DATE
2020-07-17,B6,B6,1797,35191,DEN,71614,DEN,2051,1609,2603,1.0,1.0,0,-15.0,0.0,0,0,0,,0,0,0,0,0,299.0,20,2020-07-17
2020-07-28,AA,UA,9739,85858,DFW,27493,MCO,0603,1530,1584,4.0,4.0,0,-4.0,0.0,0,0,0,,0,0,0,0,0,185.0,6,2020-07-28
2020-07-25,AS,G4,785,47463,DEN,34497,LAS,1554,0000,1040,4.0,4.0,0,17.0,17.0,1,0,0,,1,2,5,1,9,111.0,15,2020-07-25
2020-07-03,HA,B6,8207,96772,ORD,75668,DEN,1658,1002,1137,14.0,14.0,0,4.0,4.0,0,0,0,,0,0,0,0,0,143.0,16,2020-07-03
2020-07-18,HA,WN,2478,28132,JFK,56127,BOS,1538,0831,2137,28.0,28.0,1,21.0,21.0,1,0,0,,2,2,5,1,11,256.0,15,2020-07-18
2020-07-27,WN,AA,1433,76806,LAS,23861,JFK,0705,0619,1250,63.0,63.0,1,45.0,45.0,1,0,0,,16,11,2,2,13,158.0,7,2020-07-27
2020-07-06,UA,UA,6164,49541,DFW,63686,ORD,0115,1014,1353,41.0,41.0,1,51.0,51.0,1,0,0,,20,0,6,1,23,172.0,1,2020-07-06
2020-07-13,G4,B6,4197,11547,LAS,50088,ATL,2026,0317,320,13.0,13.0,0,17.0,17.0,1,0,0,,5,0,4,0,8,34.0,20,2020-07-13
2020-07-08,WN,DL,1297,73358,LAX,70631,JFK,0810,1743,1746,35.0,35.0,1,39.0,39.0,1,0,0,,14,1,8,0,16,208.0,8,2020-07-08
2020-07-21,B6,UA,4673,80924,DEN,17473,SFO,2128,2335,358,17.0,17.0,1,14.0,14.0,0,0,0,,0,0,0,0,0,39.0,21,2020-07-21
2020-07-24,G4,NK,2196,64176,DEN,15646,SFO,0717,1331,1327,12.0,12.0,0,24.0,24.0,1,0,0,,9,3,4,1,8,166.0,7,2020-07-24
2020-07-17,AA,WN,9287,29926,LAS,51011,MCO,0110,1223,380,44.0,44.0,1,41.0,41.0,1,0,0,,12,12,11,2,4,52.0,1,2020-07-17
2020-07-12,NK,WN,3576,65562,JFK,66326,SFO,0249,0506,2940,5.0,5.0,0,17.0,17.0,1,0,0,,5,1,4,1,6,370.0,2,2020-07-12
2020-07-15,AS,AS,983,32626,MCO,64222,DEN,0049,1404,2384,20.0,20.0,1,4.0,4.0,0,0,0,,0,0,0,0,0,309.0,0,2020-07-15
2020-07-14,F9,HA,8797,48160,SFO,93197,SFO,1957,0305,2203,22.0,22.0,1,15.0,15.0,1,0,0,,5,4,0,0,5,279.0,19,2020-07-14
2020-07-27,B6,UA,302,52194,SFO,13683,LAX,1652,0217,962,20.0,20.0,1,16.0,16.0,1,0,0,,2,1,1,0,12,123.0,16,2020-07-27
2020-07-04,G4,DL,9958,73895,DEN,18410,SEA,0903,1543,785,2.0,2.0,0,-2.0,0.0,0,0,0,,0,0,0,0,0,87.0,9,2020-07-04
2020-07-28,F9,DL,3405,92577,SFO,34587,ORD,0321,0507,825,3.0,3.0,0,15.0,15.0,1,0,0,,0,4,4,0,6,105.0,3,2020-07-28
2020-07-31,UA,UA,1817,67198,DEN,91784,MCO,0827,0911,2987,32.0,32.0,1,51.0,51.0,1,0,0,,14,8,15,2,13,376.0,8,2020-07-31
2020-07-03,WN,G4,5942,64683,DFW,22260,ATL,2245,1421,437,12.0,12.0,0,8.0,8.0,0,0,0,,0,0,0,0,0,45.0,22,2020-07-03
