FL_DATE,UNIQUE_CARRIER,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,CRS_DEP_TIME,DEP_TIME,DISTANCE,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,DIVERTED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,AIR_TIME,DEP_HOUR,DEP_DATE
2020-06-30,UA,WN,9963,78287,ATL,33485,ATL,0222,1308,902,15.0,15.0,1,10.0,10.0,0,0,0,,0,0,0,0,0,120.0,2,2020-06-30
2020-06-28,UA,F9,1557,84320,JFK,58290,ORD,0214,0725,868,10.0,10.0,0,11.0,11.0,0,0,0,,0,0,0,0,0,106.0,2,2020-06-28
2020-06-04,AA,HA,5313,10865,LAS,66941,MIA,1034,1232,695,9.0,9.0,0,3.0,3.0,0,0,0,,0,0,0,0,0,96.0,10,2020-06-04
2020-06-13,HA,WN,1177,64290,SEA,13628,ORD,1645,2323,1816,1.0,1.0,0,12.0,12.0,0,0,0,,0,0,0,0,0,240.0,16,2020-06-13
2020-06-04,F9,AA,6550,89965,ATL,45058,LAX,1628,1506,1829,25.0,25.0,1,19.0,19.0,1,0,0,,5,4,1,0,10,245.0,16,2020-06-04
2020-06-04,WN,WN,2927,97403,LAS,68949,SEA,0316,2345,2812,5.0,5.0,0,18.0,18.0,1,0,0,,3,1,0,0,14,357.0,3,2020-06-04
2020-06-13,UA,AA,6025,12191,DFW,39587,MCO,0621,0049,2317,19.0,19.0,1,14.0,14.0,0,0,0,,0,0,0,0,0,304.0,6,2020-06-13
2020-06-30,AS,G4,9330,75828,LAX,71708,JFK,0425,0243,2758,19.0,19.0,1,32.0,32.0,1,0,0,,10,3,5,1,13,336.0,4,2020-06-30
2020-06-30,NK,UA,1803,19037,DEN,45708,DEN,1304,0404,566,14.0,14.0,0,2.0,2.0,0,0,0,,0,0,0,0,0,66.0,13,2020-06-30
2020-06-08,WN,DL,5454,84008,ATL,19802,JFK,0421,1342,1038,32.0,32.0,1,31.0,31.0,1,0,0,,3,2,3,1,22,121.0,4,2020-06-08
2020-06-29,WN,NK,8384,22797,DEN,22899,MIA,1011,1245,1149,4.0,4.0,0,-14.0,0.0,0,0,0,,0,0,0,0,0,132.0,10,2020-06-29
2020-06-03,G4,NK,1502,79430,LAX,97428,SEA,0233,0132,1132,13.0,13.0,0,-3.0,0.0,0,0,0,,0,0,0,0,0,132.0,2,2020-06-03
2020-06-19,AS,F9,4697,73815,DEN,52583,LAS,1620,1257,1621,11.0,11.0,0,23.0,23.0,1,0,0,,7,2,6,0,7,193.0,16,2020-06-19
2020-06-04,B6,NK,8517,72875,SEA,11478,DFW,2310,0326,2501,3.0,3.0,0,4.0,4.0,0,0,0,,0,0,0,0,0,298.0,23,2020-06-04
2020-06-24,UA,NK,2328,94016,DFW,54955,ORD,2023,1516,334,7.0,7.0,0,12.0,12.0,0,0,0,,0,0,0,0,0,39.0,20,2020-06-24
2020-06-14,DL,DL,3623,33887,LAX,45406,MCO,1819,0744,2862,23.0,23.0,1,7.0,7.0,0,0,0,,0,0,0,0,0,363.0,18,2020-06-14
2020-06-08,UA,HA,1921,99167,MCO,33981,DEN,2250,1723,1100,15.0,15.0,1,5.0,5.0,0,0,0,,0,0,0,0,0,156.0,22,2020-06-08
2020-06-14,AA,HA,450,29876,LAS,86145,SEA,2300,0248,2071,15.0,15.0,1,15.0,15.0,1,0,0,,6,2,2,0,6,234.0,23,2020-06-14
2020-06-27,B6,WN,9126,45024,SFO,93694,ATL,0345,1835,1992,4.0,4.0,0,-14.0,0.0,0,0,0,,0,0,0,0,0,242.0,3,2020-06-27
2020-06-06,F9,NK,5401,47656,DEN,51831,ATL,2049,0827,2981,64.0,64.0,1,85.0,85.0,1,0,0,,31,3,10,4,38,374.0,20,2020-06-06
2020-06-16,UA,G4,8847,11245,MCO,99856,MCO,0357,0501,2387,8.0,8.0,0,-0.0,0.0,0,0,0,,0,0,0,0,0,319.0,3,2020-06-16
2020-06-18,AS,F9,4482,16674,JFK,20581,JFK,1130,0050,264,0.0,0.0,0,5.0,5.0,0,0,0,,0,0,0,0,0,45.0,11,2020-06-18
2020-06-29,B6,HA,6564,50006,ATL,42485,MCO,0359,0156,427,3.0,3.0,0,-4.0,0.0,0,0,0,,0,0,0,0,0,65.0,3,2020-06-29
2020-06-21,G4,HA,9318,72006,LAS,90473,MCO,2034,0624,1508,3.0,3.0,0,2.0,2.0,0,0,0,,0,0,0,0,0,192.0,20,2020-06-21
2020-06-28,WN,F9,1878,73164,SFO,26414,BOS,1435,1948,118,48.0,48.0,1,62.0,62.0,1,0,0,,0,2,18,1,42,16.0,14,2020-06-28
2020-06-24,G4,G4,3824,32640,DEN,80073,DEN,0228,1917,517,13.0,13.0,0,-2.0,0.0,0,0,0,,0,0,0,0,0,67.0,2,2020-06-24
