FL_DATE,UNIQUE_CARRIER,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,CRS_DEP_TIME,DEP_TIME,DISTANCE,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,DIVERTED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,AIR_TIME,DEP_HOUR,DEP_DATE
2020-04-18,WN,WN,3345,24102,DFW,33086,JFK,0539,2002,1776,18.0,18.0,1,23.0,23.0,1,0,0,,6,4,5,0,7,225.0,5,2020-04-18
2020-04-02,AS,NK,3775,41530,LAS,21228,MIA,0936,0627,906,10.0,10.0,0,10.0,10.0,0,0,0,,0,0,0,0,0,133.0,9,2020-04-02
2020-04-07,G4,B6,2476,73871,SFO,22992,JFK,0340,0405,1029,29.0,29.0,1,34.0,34.0,1,0,0,,6,7,8,0,12,147.0,3,2020-04-07
2020-04-18,WN,F9,3074,32413,MCO,29762,ATL,0851,0529,173,9.0,9.0,0,8.0,8.0,0,0,0,,0,0,0,0,0,18.0,8,2020-04-18
2020-04-28,UA,HA,6492,67982,DFW,68098,ORD,1051,0257,1893,11.0,11.0,0,3.0,3.0,0,0,0,,0,0,0,0,0,225.0,10,2020-04-28
2020-04-21,HA,NK,685,25620,ATL,77712,DEN,0500,0955,643,21.0,21.0,1,16.0,16.0,1,0,0,,0,4,2,1,9,69.0,5,2020-04-21
2020-04-25,UA,DL,6172,60187,JFK,96223,ATL,0524,0444,2534,24.0,24.0,1,28.0,28.0,1,0,0,,6,5,1,1,15,336.0,5,2020-04-25
2020-04-28,DL,HA,1679,75140,JFK,76154,LAX,1031,1847,904,4.0,4.0,0,-8.0,0.0,0,0,0,,0,0,0,0,0,127.0,10,2020-04-28
2020-04-24,NK,HA,8423,67539,SEA,69916,LAX,0124,0211,2229,2.0,2.0,0,-17.0,0.0,0,0,0,,0,0,0,0,0,286.0,1,2020-04-24
2020-04-17,WN,HA,1681,10870,SFO,61261,MIA,1138,0101,2856,5.0,5.0,0,18.0,18.0,1,0,0,,2,5,0,0,10,352.0,11,2020-04-17
