FL_DATE,UNIQUE_CARRIER,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,CRS_DEP_TIME,DEP_TIME,DISTANCE,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,DIVERTED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,AIR_TIME,DEP_HOUR,DEP_DATE
2020-09-14,DL,WN,4952,72955,LAX,32081,MCO,0957,0715,518,34.0,34.0,1,29.0,29.0,1,0,0,,1,6,5,1,16,71.0,9,2020-09-14
2020-09-23,AS,B6,2797,48384,LAX,71787,JFK,1951,1812,1039,7.0,7.0,0,-5.0,0.0,0,0,0,,0,0,0,0,0,138.0,19,2020-09-23
2020-09-19,F9,WN,5484,39201,LAX,65194,LAX,0024,0552,203,10.0,10.0,0,-4.0,0.0,0,0,0,,0,0,0,0,0,6.0,0,2020-09-19
2020-09-28,AS,WN,2106,24517,DEN,73650,JFK,0213,2351,957,3.0,3.0,0,3.0,3.0,0,0,0,,0,0,0,0,0,127.0,2,2020-09-28
2020-09-12,F9,F9,2521,56239,MCO,34649,LAX,1605,1617,1523,80.0,80.0,1,72.0,72.0,1,0,0,,1,9,7,2,53,191.0,16,2020-09-12
2020-09-28,NK,AS,5271,67936,LAS,32827,ATL,0408,1205,374,17.0,17.0,1,11.0,11.0,0,0,0,,0,0,0,0,0,46.0,4,2020-09-28
2020-09-19,AS,AA,8974,36608,JFK,92027,JFK,0415,0203,270,1.0,1.0,0,-7.0,0.0,0,0,0,,0,0,0,0,0,51.0,4,2020-09-19
2020-09-06,G4,UA,7511,84994,JFK,12761,LAX,0231,2211,608,22.0,22.0,1,16.0,16.0,1,0,0,,4,0,1,0,10,82.0,2,2020-09-06
2020-09-22,B6,AA,1646,38471,JFK,49855,BOS,0844,0843,2058,9.0,9.0,0,-5.0,0.0,0,0,0,,0,0,0,0,0,258.0,8,2020-09-22
2020-09-03,WN,B6,2045,60515,DEN,84122,ORD,0726,0958,1843,4.0,4.0,0,4.0,4.0,0,0,0,,0,0,0,0,0,204.0,7,2020-09-03
2020-09-18,WN,NK,9086,78316,ATL,37652,LAS,0345,0853,393,30.0,30.0,1,51.0,51.0,1,0,0,,4,5,9,1,32,50.0,3,2020-09-18
2020-09-28,NK,AA,4568,65105,SEA,38174,MCO,1833,0552,908,2.0,2.0,0,11.0,11.0,0,0,0,,0,0,0,0,0,108.0,18,2020-09-28
2020-09-19,G4,G4,659,79731,ATL,36832,SEA,0713,0336,1595,24.0,24.0,1,50.0,50.0,1,0,0,,1,3,7,1,38,188.0,7,2020-09-19
2020-09-29,WN,B6,1550,75321,ORD,46036,MIA,0716,0731,2926,31.0,31.0,1,35.0,35.0,1,0,0,,5,8,10,1,11,372.0,7,2020-09-29
2020-09-28,DL,G4,9207,67191,JFK,92264,SEA,1009,1032,2109,6.0,6.0,0,8.0,8.0,0,0,0,,0,0,0,0,0,258.0,10,2020-09-28
2020-09-22,WN,DL,8812,99279,DEN,67823,MIA,0410,1146,820,3.0,3.0,0,5.0,5.0,0,0,0,,0,0,0,0,0,97.0,4,2020-09-22
2020-09-08,UA,HA,178,27170,MCO,86008,BOS,1501,1643,2561,4.0,4.0,0,2.0,2.0,0,0,0,,0,0,0,0,0,319.0,15,2020-09-08
2020-09-26,AA,G4,5615,75595,MCO,60506,SEA,1631,2136,133,32.0,32.0,1,16.0,16.0,1,0,0,,4,1,2,0,8,14.0,16,2020-09-26
2020-09-16,DL,G4,5129,34105,JFK,13981,SFO,1245,0407,2154,2.0,2.0,0,14.0,14.0,0,0,0,,0,0,0,0,0,280.0,12,2020-09-16
2020-09-09,AA,AS,1111,29220,DFW,63219,BOS,0025,2310,557,6.0,6.0,0,-14.0,0.0,0,0,0,,0,0,0,0,0,66.0,0,2020-09-09
2020-09-11,B6,UA,3625,66035,ATL,98524,ATL,1200,0738,2691,10.0,10.0,0,9.0,9.0,0,0,0,,0,0,0,0,0,340.0,12,2020-09-11
2020-09-13,AA,G4,4990,71927,SFO,45823,JFK,0713,1224,2075,7.0,7.0,0,-18.0,0.0,0,0,0,,0,0,0,0,0,245.0,7,2020-09-13
2020-09-22,B6,HA,5383,40196,DFW,65310,BOS,1342,0600,812,0.0,0.0,0,7.0,7.0,0,0,0,,0,0,0,0,0,117.0,13,2020-09-22
2020-09-26,DL,WN,4252,19282,SEA,17570,SEA,1823,2211,1538,37.0,37.0,1,30.0,30.0,1,0,0,,1,9,5,1,15,201.0,18,2020-09-26
2020-09-05,AS,HA,5173,85144,DFW,76541,LAS,0256,1835,225,0.0,0.0,0,5.0,5.0,0,0,0,,0,0,0,0,0,22.0,2,2020-09-05
2020-09-04,F9,B6,1616,23987,JFK,35419,LAS,0756,1609,1869,14.0,14.0,0,29.0,29.0,1,0,0,,8,8,3,1,9,237.0,7,2020-09-04
2020-09-12,AS,G4,1586,14170,JFK,40115,LAS,0516,0510,1779,22.0,22.0,1,-10.0,0.0,0,0,0,,0,0,0,0,0,233.0,5,2020-09-12
2020-09-08,B6,WN,5476,22695,MCO,27500,DEN,1356,1204,778,16.0,16.0,1,12.0,12.0,0,0,0,,0,0,0,0,0,112.0,13,2020-09-08
2020-09-26,WN,G4,828,57262,ATL,59497,ATL,2313,0743,1364,6.0,6.0,0,15.0,15.0,1,0,0,,2,0,3,1,9,183.0,23,2020-09-26
2020-09-11,AS,F9,8878,44968,DFW,44396,LAS,1957,1252,427,1.0,1.0,0,3.0,3.0,0,0,0,,0,0,0,0,0,66.0,19,2020-09-11
2020-09-06,WN,UA,3976,69563,SFO,74183,ATL,1143,2306,2902,35.0,35.0,1,41.0,41.0,1,0,0,,16,7,12,1,5,350.0,11,2020-09-06
2020-09-30,HA,G4,1154,87070,LAS,10953,DFW,0010,0856,1471,12.0,12.0,0,13.0,13.0,0,0,0,,0,0,0,0,0,195.0,0,2020-09-30
2020-09-16,DL,HA,2969,43392,LAS,41189,LAS,0929,0458,2914,13.0,13.0,0,-1.0,0.0,0,0,0,,0,0,0,0,0,389.0,9,2020-09-16
